name,country,coordenates
Albert Park Grand Prix Circuit,Australia,"-37.8497, 144.968"
Sepang International Circuit,Malaysia,"2.76083, 101.738"
Autodromo Jose Carlos Pace,Brazil,"-23.7036, -46.6997"
Autodromo Enzo E Dino Ferrari,Italy,"44.3439, 11.7167"
Circuit De Barcelona Catalunya,Spain,"41.57, 2.26111"
A1 Ring,Austria,"47.2197, 14.7647"
Circuit De Monaco,Monaco,"43.7347, 7.42056"
Circuit Gilles Villeneuve,Canada,"45.5, -73.5228"
Nuerburgring,Germany,"50.3356, 6.9475"
Circuit De Nevers Magny Cours,France,"46.8642, 3.16361"
Silverstone Circuit,United Kingdom of Great Britain and Northern Ireland,"52.0786, -1.01694"
Hockenheimring,Germany,"49.3278, 8.56583"
Hungaroring,Hungary,"47.5789, 19.2486"
Circuit De Spa Francorchamps,Belgium,"50.4372, 5.97139"
Autodromo Nazionale Di Monza,Italy,"45.6156, 9.28111"
Indianapolis Motor Speedway,United States of America,"39.795, -86.2347"
Suzuka Circuit,Japan,"34.8431, 136.541"
Bahrain International Circuit,Bahrain,"26.0325, 50.5106"
Shanghai International Circuit,China,"31.3389, 121.22"
Istanbul Park,Turkey,"40.9517, 29.405"
Fuji Speedway,Japan,"35.3717, 138.927"
Valencia Street Circuit,Spain,"39.4589, -0.331667"
Marina Bay Street Circuit,Singapore,"1.2914, 103.864"
Yas Marina Circuit,Abu Dhabi,"24.4672, 54.6031"
Korean International Circuit,Korea (Republic of),"34.7333, 126.417"
Buddh International Circuit,India,"28.3487, 77.5331"
Circuit Of The Americas,United States of America,"30.1328, -97.6411"
Red Bull Ring,Austria,"47.2197, 14.7647"
Sochi Autodrom,Russia,"43.4057, 39.9578"
Autodromo Hermanos Rodriguez,Mexico,"19.4042, -99.0907"
Baku City Circuit,Azerbaijan,"40.3725, 49.8533"
Circuit Paul Ricard,France,"43.2506, 5.79167"
Autodromo Internazionale Del Mugello,Italy,"43.9975, 11.3719"
Autodromo Internacional Do Algarve,Portugal,"37.227, -8.6267"
Circuit Park Zandvoort,Netherland,"52.3888, 4.54092"
Losail International Circuit,Qatar,"25.49, 51.4542"
Jeddah Corniche Circuit,Saudi Arabia,"21.6319, 39.1044"
